wind_speed,swr,mixing/coef_mix_hyp,par_id
0.86794,1.2691,0.43402,p0160
0.80851,1.1047,0.39492,p0161
0.69206,1.0594,0.44106,p0162
1.4697,1.441,0.42953,p0163
1.0882,0.9986,0.39579,p0164
0.89754,1.3762,0.39982,p0165
0.7179,1.2719,0.40564,p0166
0.91927,1.3558,0.44752,p0167
1.0629,0.90364,0.41596,p0168
0.8583,0.80045,0.41538,p0169
0.60315,1.4082,0.39154,p0170
0.83793,1.4131,0.41856,p0171
1.4546,0.90042,0.40956,p0172
0.63674,0.84251,0.3698,p0173
0.56554,1.2569,0.42667,p0174
0.59365,1.4099,0.36716,p0175
0.76981,0.86067,0.4149,p0176
1.2061,1.0309,0.35884,p0177
1.0475,1.0268,0.38527,p0178
1.2665,1.0996,0.3504,p0179
0.77299,1.4977,0.3604,p0180
0.96484,1.2173,0.36607,p0181
0.97728,1.3959,0.36566,p0182
0.51378,1.1687,0.42478,p0183
1.2211,1.3874,0.43624,p0184
0.88628,0.8319,0.41064,p0185
0.62588,1.4513,0.37887,p0186
0.5995,1.4995,0.42568,p0187
1.5386,1.2854,0.39797,p0188
0.91194,1.4903,0.40618,p0189
0.56871,0.90354,0.4421,p0190
1.5334,1.0925,0.42656,p0191
0.89988,1.0653,0.35194,p0192
1.2879,0.95564,0.41511,p0193
0.69611,1.0169,0.42181,p0194
1.0068,0.87972,0.39059,p0195
0.5255,0.99154,0.43658,p0196
1.3004,1.4792,0.38041,p0197
1.4113,0.89359,0.37932,p0198
0.68643,0.84702,0.39416,p0199
1.5904,0.85778,0.35215,p0200
1.5897,0.99677,0.4139,p0201
0.50168,1.2608,0.44683,p0202
1.2722,0.92971,0.38722,p0203
1.3273,0.84087,0.4446,p0204
0.87661,1.0761,0.3798,p0205
0.80609,0.8823,0.38408,p0206
1.1473,0.89516,0.3995,p0207
1.5242,0.91591,0.353,p0208
1.4141,1.4028,0.35751,p0209
0.98205,1.3453,0.37695,p0210
1.643,1.3332,0.35641,p0211
1.3316,0.89171,0.37507,p0212
1.1014,0.91403,0.38177,p0213
1.6221,1.4705,0.42138,p0214
1.2157,1.3397,0.38909,p0215
0.63081,0.9519,0.37269,p0216
0.65682,1.4058,0.36554,p0217
1.1036,1.2892,0.41478,p0218
1.1779,0.8194,0.36921,p0219
1.1804,0.84855,0.37382,p0220
1.5493,0.8326,0.40996,p0221
0.8521,1.4868,0.44313,p0222
1.3414,0.87062,0.35237,p0223
0.99087,1.078,0.41567,p0224
1.0294,1.0874,0.38898,p0225
1.5317,1.1856,0.44808,p0226
0.60946,1.0382,0.44607,p0227
0.94323,1.0141,0.37102,p0228
1.2081,0.87366,0.42016,p0229
0.97186,1.2968,0.38577,p0230
0.66475,1.2753,0.41221,p0231
1.6165,1.3674,0.35045,p0232
1.3609,0.8303,0.40433,p0233
1.2842,1.3581,0.43006,p0234
1.6056,0.896,0.42228,p0235
1.0503,1.0864,0.42899,p0236
1.2759,1.4959,0.39177,p0237
0.57458,1.2014,0.37409,p0238
0.84357,1.4918,0.3921,p0239
1.5739,1.4197,0.35908,p0240
1.6185,1.0318,0.36847,p0241
0.93769,1.4884,0.43423,p0242
0.71402,1.3597,0.41914,p0243
0.97925,1.3693,0.40911,p0244
0.72733,1.235,0.3615,p0245
1.0675,1.1221,0.42106,p0246
0.77871,1.1244,0.44146,p0247
1.3443,1.3251,0.42583,p0248
1.043,1.4427,0.36418,p0249
1.3244,1.0705,0.4093,p0250
0.62685,1.3651,0.39802,p0251
0.51704,0.97889,0.38804,p0252
0.63462,0.94618,0.42252,p0253
0.50524,0.93389,0.35403,p0254
0.86568,1.2244,0.44499,p0255
0.66765,1.0912,0.41614,p0256
0.58697,1.021,0.39531,p0257
0.78721,1.3482,0.35946,p0258
1.2911,1.1488,0.43786,p0259
1.4297,0.80518,0.38452,p0260
1.1583,0.82183,0.35621,p0261
0.59874,1.2,0.44355,p0262
1.5299,1.3295,0.42272,p0263
0.51561,1.2462,0.39275,p0264
0.83127,0.82787,0.44234,p0265
1.347,0.88538,0.39974,p0266
1.2467,1.0564,0.38281,p0267
1.1989,1.3108,0.38607,p0268
1.1936,0.82095,0.40553,p0269
0.89003,1.1958,0.37639,p0270
0.55395,0.96183,0.38019,p0271
1.1258,1.0852,0.35866,p0272
0.59154,1.0183,0.39593,p0273
0.82827,0.94256,0.41454,p0274
1.2637,0.90793,0.39895,p0275
0.88102,0.9194,0.43779,p0276
1.141,1.1292,0.40727,p0277
0.55806,0.91043,0.3651,p0278
1.4575,1.3336,0.41372,p0279
1.059,1.4231,0.39223,p0280
1.0922,1.3618,0.40443,p0281
1.0545,1.1973,0.43885,p0282
1.1347,0.84604,0.41107,p0283
1.2257,1.3749,0.43706,p0284
0.55548,1.2416,0.42712,p0285
1.0146,1.0095,0.43849,p0286
0.53413,1.0425,0.4183,p0287
1.0274,1.2548,0.36312,p0288
1.6109,1.2689,0.41409,p0289
0.68038,1.3135,0.39637,p0290
0.91552,1.4721,0.4089,p0291
0.67342,1.3821,0.42607,p0292
0.7209,1.2431,0.36277,p0293
0.8303,0.85706,0.43558,p0294
0.76311,0.88927,0.41673,p0295
1.5149,1.0029,0.42168,p0296
1.2354,0.84018,0.4027,p0297
0.9529,1.2598,0.43121,p0298
1.274,1.0752,0.44945,p0299
0.87119,1.4145,0.40505,p0300
0.94589,0.91638,0.36654,p0301
0.62242,1.3001,0.43247,p0302
1.4412,1.3383,0.3545,p0303
1.3221,1.1022,0.37547,p0304
1.5672,1.4786,0.3715,p0305
1.6304,0.89817,0.42625,p0306
0.81353,0.9588,0.37797,p0307
0.91736,1.221,0.35568,p0308
0.92562,1.3027,0.35338,p0309
1.1685,1.4635,0.38187,p0310
1.2181,1.2632,0.41947,p0311
1.0015,0.99396,0.44547,p0312
1.4191,1.3732,0.37097,p0313
1.2928,1.1426,0.44644,p0314
1.4348,0.94914,0.36497,p0315
1.5451,1.2924,0.42757,p0316
1.4453,1.1253,0.43058,p0317
1.5078,1.107,0.44921,p0318
0.93978,1.2483,0.37827,p0319
0.71895,0.9269,0.41338,p0320
1.3696,0.83413,0.35107,p0321
1.4047,1.3711,0.38631,p0322
1.5216,1.438,0.39,p0323
1.0853,1.1091,0.41554,p0324
0.9681,1.1276,0.40465,p0325
1.4079,0.93852,0.44714,p0326
1.5532,0.98252,0.38071,p0327
1.3038,1.4013,0.44844,p0328
0.78138,0.93449,0.4361,p0329
1.3639,1.2325,0.37421,p0330
1.4905,1.1709,0.39543,p0331
0.98771,1.1544,0.40834,p0332
1.1849,1.0398,0.44366,p0333
1.4467,0.95467,0.38152,p0334
0.52279,0.9685,0.40001,p0335
1.1175,1.1032,0.37579,p0336
1.5571,1.4063,0.40662,p0337
1.156,0.81484,0.41185,p0338
1.0783,1.1805,0.37334,p0339
0.65924,1.1533,0.38081,p0340
1.6476,1.097,0.39647,p0341
1.5753,1.4263,0.41357,p0342
1.5802,0.95075,0.40537,p0343
1.4507,1.1322,0.42149,p0344
1.6009,1.3424,0.39428,p0345
1.5362,0.94472,0.40317,p0346
0.64174,1.2123,0.41303,p0347
0.7902,1.0193,0.35605,p0348
0.65047,1.1596,0.43317,p0349
1.2448,1.4116,0.38427,p0350
1.4496,1.3833,0.44523,p0351
1.065,1.2069,0.38799,p0352
0.63128,1.1509,0.40973,p0353
1.2556,1.2659,0.42931,p0354
0.56375,1.1446,0.40394,p0355
1.5982,1.081,0.41722,p0356
0.94746,1.2501,0.38377,p0357
1.1446,0.81765,0.39711,p0358
0.7938,1.0009,0.42688,p0359
0.86977,1.1202,0.37999,p0360
1.2287,1.3542,0.38872,p0361
1.0761,1.112,0.36825,p0362
0.97036,1.4656,0.38659,p0363
1.4104,1.1849,0.3826,p0364
0.84739,1.2665,0.35499,p0365
1.6086,1.1562,0.39078,p0366
0.85093,0.98759,0.36344,p0367
1.0164,1.4246,0.39857,p0368
1.3005,0.92445,0.43992,p0369
0.7487,1.2401,0.43943,p0370
0.74079,0.9436,0.38465,p0371
0.61859,0.84442,0.36364,p0372
1.1736,1.4419,0.44068,p0373
1.1701,1.2883,0.36257,p0374
0.86228,1.1,0.44328,p0375
0.53098,1.0831,0.38857,p0376
1.423,0.9749,0.40041,p0377
1.3359,1.3142,0.39692,p0378
1.223,1.3884,0.35305,p0379
0.99279,1.0578,0.40801,p0380
1.072,1.3996,0.43495,p0381
0.68274,0.87666,0.37452,p0382
0.5774,1.2132,0.3501,p0383
1.248,1.1481,0.36011,p0384
0.65328,1.4772,0.35765,p0385
0.73514,0.83583,0.38544,p0386
1.1379,1.1947,0.40149,p0387
1.5583,1.4843,0.41809,p0388
1.6393,1.2797,0.3598,p0389
1.2378,1.0887,0.43698,p0390
1.2147,0.98411,0.44661,p0391
0.76034,1.0737,0.37524,p0392
1.3116,0.8264,0.44432,p0393
0.98361,1.2237,0.39936,p0394
1.0826,0.80788,0.35687,p0395
1.2698,0.92166,0.39034,p0396
1.628,1.434,0.42358,p0397
0.74603,1.2261,0.39613,p0398
1.5113,0.9108,0.39878,p0399
1.2387,1.3376,0.42789,p0400
1.5656,1.1135,0.35144,p0401
0.55026,1.3078,0.44725,p0402
1.0204,1.4327,0.41988,p0403
1.1992,0.87812,0.40742,p0404
1.142,1.1162,0.44826,p0405
0.57216,1.3718,0.3776,p0406
1.21,1.2019,0.39519,p0407
1.1542,1.2469,0.36529,p0408
1.211,1.0449,0.35738,p0409
1.5831,0.94769,0.35076,p0410
0.98689,1.2586,0.39122,p0411
0.92149,1.282,0.39348,p0412
1.3995,1.0416,0.36908,p0413
0.81085,0.97171,0.41799,p0414
0.63883,1.4163,0.43452,p0415
1.2943,0.82294,0.38226,p0416
1.0383,1.1887,0.38338,p0417
1.0258,1.209,0.4459,p0418
1.2618,1.1376,0.36948,p0419
1.5265,1.431,0.42031,p0420
1.5702,0.81608,0.41708,p0421
1.3519,0.8385,0.37772,p0422
0.73008,1.3635,0.3747,p0423
1.4839,1.4849,0.42766,p0424
0.72872,1.4952,0.40285,p0425
0.58419,0.95288,0.42375,p0426
0.99452,0.86452,0.42445,p0427
1.0235,1.121,0.43087,p0428
0.52786,1.023,0.39242,p0429
1.3579,1.0465,0.41281,p0430
1.504,1.4507,0.36584,p0431
0.64387,1.2364,0.4012,p0432
1.6024,1.284,0.38514,p0433
0.81545,0.81311,0.42722,p0434
0.79846,1.3362,0.43671,p0435
0.75634,1.1653,0.36028,p0436
1.1196,1.0642,0.36694,p0437
1.1306,0.85302,0.377,p0438
0.71286,0.95711,0.40022,p0439
1.2799,1.3781,0.42331,p0440
1.4736,1.0044,0.37649,p0441
0.85444,1.3082,0.41746,p0442
0.83464,1.3274,0.37002,p0443
1.3149,1.4647,0.38924,p0444
1.4662,1.0452,0.37958,p0445
1.1052,1.4809,0.38262,p0446
1.3821,1.2553,0.39321,p0447
1.3916,1.1793,0.44875,p0448
1.0375,1.3989,0.40762,p0449
1.0892,1.0718,0.351,p0450
0.73399,1.0067,0.36109,p0451
0.65621,0.90668,0.41427,p0452
0.87428,0.80404,0.38116,p0453
1.2779,1.302,0.40791,p0454
1.0326,1.3842,0.3677,p0455
1.0589,1.1345,0.38306,p0456
0.89444,0.89765,0.36131,p0457
1.3424,1.1347,0.41653,p0458
0.69469,0.87193,0.39762,p0459
0.56075,1.0937,0.36207,p0460
1.6373,0.9801,0.38834,p0461
0.62001,1.4707,0.40339,p0462
0.95805,0.86618,0.43079,p0463
1.1884,0.88592,0.38132,p0464
0.99801,1.0517,0.41631,p0465
0.95383,1.3064,0.3947,p0466
0.66121,1.0216,0.4373,p0467
1.2422,1.2954,0.3735,p0468
0.60512,1.0799,0.4283,p0469
0.9052,0.8377,0.4441,p0470
1.4392,0.9813,0.35662,p0471
1.3302,1.3519,0.43239,p0472
1.4809,1.1675,0.44183,p0473
1.4773,1.4045,0.36475,p0474
1.3968,0.85571,0.43105,p0475
0.68578,1.3974,0.44793,p0476
0.73723,0.87434,0.43864,p0477
1.3333,1.1733,0.38026,p0478
0.96275,1.4465,0.36442,p0479
0.66891,1.3931,0.37024,p0480
1.6103,1.1907,0.43583,p0481
1.6486,1.1905,0.4204,p0482
0.50281,1.2938,0.39109,p0483
1.3075,0.85102,0.38957,p0484
1.0101,1.32,0.3639,p0485
1.5635,1.1186,0.35165,p0486
1.3756,1.0245,0.43266,p0487
1.1369,0.80256,0.40166,p0488
1.3724,1.1871,0.44575,p0489
0.97394,0.95999,0.3678,p0490
1.6248,1.2647,0.42522,p0491
1.2335,1.2195,0.35438,p0492
1.3768,1.4188,0.35591,p0493
1.3684,0.97635,0.42412,p0494
1.5966,1.3048,0.3593,p0495
1.3506,1.1059,0.39458,p0496
0.79547,0.9399,0.37857,p0497
1.2857,0.90155,0.35465,p0498
1.6359,1.3802,0.43038,p0499
1.0735,1.2047,0.38383,p0500
